id,id_1,id_2,id_3,id_4,id_5,id_6,id_7
1,A/Gramado/LACENRS-1287/2016,A/Taipei/0045/2016,A/Vacaria/LACENRS-495/2016,A/Torres/LACENRS-1102/2016,A/Baltimore/0107/2016,A/Taipei/0046/2016,A/Baltimore/0008/2016
2,A/Minnesota/35/2017,A/Florida/95/2015,A/Hawaii/83/2015,A/Florida/83/2015,A/Florida/12/2016,A/Washington/01/2017,A/NorthCarolina/12/2016
3,A/Warsaw/INS3_657/2011,A/KhonKaen/INS3_649/2012,A/Chicago/YGA_04019/2012,A/Tennessee/F2068/2011,A/Lima/INS3_677/2012,A/Bronx/INS3_673/2012,A/Georgia/M5081/2012
4,A/Helsinki/848/2013,A/Helsinki/804/2013,A/Helsinki/911/2013,A/Helsinki/100/2013,A/Helsinki/1199/2012,A/Helsinki/205/2013,A/Helsinki/737/2013
5,A/Parma/644/2010,A/Parma/7/2011,A/Parma/48/2011,A/Parma/126/2011,A/Singapore/GP917/2011,A/Singapore/GP887/2011,A/Singapore/GP767/2011
6,A/Bangkok/INS478/2010,A/Sydney/DD3-37/2010,A/Texas/JMS413/2010,A/Bangkok/INS424/2010,A/Vienna/INS368/2010,A/Berlin/INS430/2010,A/Athens/INS396/2010
7,A/NewYork/A-WC-LVD-16-067/2016,A/Alaska/263/2015,A/NewYork/A-WC-LVD-16-040/2016,A/NewYork/A-WC-LVD-16-018/2016,A/NewYork/A-WC-LVD-16-016/2016,A/NewYork/A-WC-LVD-16-053/2016,A/NewYork/A-WC-LVD-16-014/2016
8,A/Mexico/8017/2017,A/Mexico/4436/2016,A/Mexico/8517/2017,A/Mexico/4687/2017,A/Mexico/4435/2016,A/Mexico/4440/2016,A/Mexico/17517/2017
9,A/Thailand/SN11783/2012,A/Milano/21/2012,A/Taiwan/1829/2011,A/Indiana/04/2011,A/Michigan/03/2011,A/Pennsylvania/07/2011,A/Budapest/WRAIR3789T/2011
