id,id_1,id_2,id_3,id_4,id_5,id_6,id_7
1,A/Indiana/21/2012,A/Minnesota/11/2010,A/Ontario/1252/2007,A/Ontario/RV1273/2005,A/Indiana/08/2011,A/Indiana/10/2011,A/Iowa/07/2011
2,A/Singapore/139N/2007,A/Singapore/25Z/2007,A/Soledade/LACENRS-820/2011,A/Nanjing/1654/2010,A/Nanjing/1655/2010,A/Nanjing/1663/2010,A/Qinghai/178/2010
3,A/South Australia/22/2005,A/Hong Kong/HKU44/2005,A/Quebec/26-281106/2006,A/New York/359/2005,A/New York/391/2005,A/New York/465/2005,A/Quebec/26-031205/2005
4,A/Connecticut/Flu086/2012,A/DC/1/2014,A/Porto Alegre/LACENRS-2376/2014,A/Santa Cruz/2821/2012,A/Canoas/LACENRS-1317/2014,A/Arvorezinha/LACENRS-2055/2013,A/Alegrete/LACENRS-1624/2014
5,A/Saudi Arabia/05/2013,A/Kuwait/F099/2014,A/Michigan/08/2014,A/Nevada/18/2014,A/Maine/06/2014,A/Hawaii/39/2014,A/Arkansas/01/2014
6,A/New York/933/2006,A/South Carolina/NHRC0001/2005,A/Texas/NHRC0001/2006,A/Illinois/NHRC0001/2005,A/HaNoi/ISBM16/2005,A/Netherlands/42/2006,A/Georgia/NHRC0001/2005
7,A/Queensland/52/2005,A/Otago/1/2005,A/New York/7/2006,A/Taiwan/70002/2007,A/New York/1009/2006,A/Western Australia/69/2005,A/Hong Kong/HKU66/2005
8,A/Florida/22/2009,A/New York/3738/2009,A/Brisbane/10/2007,A/Thailand/CU-1102/2008,A/Mexico/24025/2009,A/Uruguay/716/2007,A/Pennsylvania/PIT04/2008
9,A/Sydney/156/2014,A/New York/WC-LVD-14-073/2014,A/Brisbane/341/2014,A/Canberra/82/2014,A/Nicaragua/7945_05/2014,A/Houston/JMM_170/2013,A/Chicago/YGA_04046/2012
10,A/Canberra/35/2012,A/Brisbane/21/2012,A/Peru/PER041/2011,A/Parma/22/2012,A/South Australia/2/2013,A/Victoria/120/2012,A/Boston/YGA_00046/2013
11,A/Cambodia/V1012345/2011,A/Netherlands/034/2010,A/Rhode Island/09/2012,A/Chicago/YGA_04114/2012,A/Boston/DOA2-097/2012,A/Victoria/1003/2012,A/South Australia/8/2013
12,A/Texas/JMM_24/2012,A/Santa Clara/YGA_03020/2013,A/Nicaragua/6777_01_TR1/2013,A/Nicaragua/30071_01_TR1/2013,A/Boston/DOA2-232/2013,A/Texas/JMM_21/2012,A/Boston/DOA2-245/2013
